#MJD I Ierr p p_err theta theta_err
712.54 27.550 0.011 6.73 0.06 89.0 0.2
712.57 28.748 0.011 6.36 0.05 88.7 0.2
712.58 31.458 0.013 5.96 0.03 86.0 0.1
712.61 27.105 0.011 5.86 0.05 90.1 0.2
712.63 27.411 0.011 5.76 0.05 90.0 0.2
712.64 26.313 0.014 5.81 0.09 90.2 0.4
712.65 27.366 0.014 5.76 0.08 90.1 0.3
712.66 27.882 0.011 5.90 0.08 89.9 0.4
712.67 27.325 0.011 5.75 0.04 89.3 0.1
712.67 27.736 0.011 5.85 0.02 91.4 0.1
712.69 27.947 0.014 5.65 0.02 89.8 0.1
712.69 30.864 0.014 5.55 0.06 85.6 0.3
712.71 27.678 0.020 5.70 0.05 88.9 0.2
712.72 26.723 0.081 5.63 0.06 88.3 0.3
712.73 27.117 0.054 5.58 0.07 87.8 0.3
712.74 26.615 0.088 5.41 0.05 87.7 0.2
712.75 25.716 0.065 5.41 0.07 87.6 0.4
713.48 25.017 0.013 2.59 0.05 95.0 0.5
713.49 25.688 0.021 2.64 0.04 95.5 0.4
713.50 29.440 0.030 2.77 0.04 91.0 0.4
713.52 26.016 0.022 2.88 0.07 96.7 0.7
713.53 25.448 0.137 2.67 0.13 94.9 1.4
713.54 24.946 0.011 2.60 0.08 95.7 0.9
713.55 25.377 0.026 2.69 0.10 96.0 1.1
713.56 24.665 0.116 2.78 0.11 94.8 1.1
713.57 23.993 0.010 2.92 0.06 96.9 0.6
713.58 25.723 0.010 2.67 0.05 96.2 0.5
713.59 25.158 0.010 2.64 0.05 97.5 0.5
713.60 26.079 0.010 2.65 0.06 99.1 0.6
713.61 28.203 0.015 2.64 0.06 93.1 0.7
713.63 25.427 0.012 2.59 0.03 96.2 0.3
713.64 25.608 0.010 2.48 0.05 98.3 0.5
713.65 25.697 0.011 2.55 0.05 97.8 0.5
713.66 25.247 0.010 2.69 0.03 98.1 0.3
713.67 25.436 0.013 2.70 0.05 98.3 0.5
713.67 25.457 0.012 2.74 0.02 98.9 0.3
713.68 26.637 0.010 2.68 0.05 98.6 0.5
713.69 25.567 0.011 2.77 0.04 99.8 0.5
713.70 24.992 0.010 2.81 0.03 100.7 0.3
713.71 24.338 0.011 2.95 0.04 99.5 0.4
713.72 24.960 0.013 2.88 0.01 101.2 0.1
713.73 29.701 0.012 3.00 0.09 98.8 0.8
713.74 25.352 0.011 3.02 0.03 102.1 0.3
713.75 25.235 0.021 3.02 0.03 102.2 0.3
714.46 26.182 0.047 4.80 0.02 108.1 1.5
714.47 25.648 0.015 4.78 0.05 107.3 0.3
714.49 30.217 0.014 4.25 0.02 107.0 1.7
714.51 25.873 0.012 4.66 0.06 108.3 0.3
714.53 24.405 0.016 4.76 0.05 108.4 0.3
714.54 26.439 0.012 4.62 0.05 109.2 0.3
714.55 25.636 0.011 4.65 0.02 109.1 0.1
714.56 26.000 0.012 4.63 0.04 109.0 0.2
714.58 25.420 0.025 4.72 0.03 108.9 0.2
714.59 31.513 0.030 4.76 0.06 109.3 0.4
714.60 27.238 0.011 4.83 0.04 109.1 0.2
714.61 25.163 0.014 5.17 0.04 109.9 0.2
714.63 32.653 0.015 5.31 0.06 113.4 0.3
714.64 29.723 0.016 4.96 0.06 109.7 0.3
714.65 25.942 0.010 5.24 0.05 110.1 0.3
714.66 26.953 0.011 5.29 0.04 109.5 0.2
714.67 26.921 0.018 5.40 0.05 109.7 0.2
714.68 28.521 0.022 5.33 0.09 109.9 0.4
714.69 24.525 0.022 5.46 0.05 109.4 0.3
714.70 25.589 0.016 5.43 0.03 110.3 0.1
714.71 27.348 0.016 5.48 0.02 110.3 0.1
714.72 26.461 0.018 5.42 0.03 110.5 0.1
714.73 23.475 0.021 5.71 0.10 111.4 0.5
714.75 24.800 0.059 5.65 0.05 109.9 0.2
714.75 29.973 0.064 5.44 0.07 109.2 0.3
715.56 26.323 0.073 8.24 0.10 114.6 0.3
715.57 25.697 0.031 8.26 0.06 115.1 0.2
715.58 26.340 0.011 8.26 0.06 114.7 0.2
715.59 26.004 0.054 8.27 0.07 114.8 0.2
715.60 26.566 0.019 8.15 0.02 115.1 0.1
715.61 26.088 0.035 8.45 0.06 114.6 0.2
715.62 25.598 0.011 8.19 0.05 115.0 0.1
715.63 26.745 0.078 8.56 0.02 115.7 0.1
715.64 26.366 0.011 8.17 0.06 114.7 0.2
715.65 31.219 0.013 7.60 0.08 114.9 0.2
715.66 26.293 0.010 8.21 0.04 114.6 0.1
715.67 26.603 0.013 8.12 0.04 114.9 0.1
715.68 26.427 0.010 8.06 0.02 114.3 0.1
715.70 25.667 0.010 8.04 0.03 114.5 0.1
715.71 26.795 0.011 8.03 0.05 114.8 0.1
715.72 25.930 0.011 7.96 0.07 114.6 0.2
716.62 27.500 0.011 7.76 0.02 116.2 0.8
716.63 27.190 0.012 7.79 0.14 116.3 0.5
716.65 23.736 0.032 8.24 0.16 116.3 0.5
716.66 25.617 0.013 7.79 0.21 116.3 0.7
716.67 24.193 0.018 7.87 0.17 116.9 0.6
716.68 28.050 0.012 7.81 0.21 116.8 0.7
716.68 26.767 0.011 8.18 0.01 119.9 0.6
716.70 28.764 0.011 7.66 0.18 118.1 0.6
716.70 30.864 0.012 7.12 0.06 119.0 0.2
716.72 27.295 0.012 7.92 0.17 116.6 0.6
717.62 30.691 0.098 5.80 0.09 130.6 0.4
717.65 31.227 0.174 5.79 0.40 131.6 1.9
717.66 31.331 0.168 5.62 0.07 131.1 0.4
717.68 30.747 0.063 5.55 0.05 131.8 0.2
717.69 31.253 0.085 5.58 0.14 132.0 0.7
717.70 30.847 0.243 5.36 0.07 132.2 0.4
717.71 32.223 0.239 5.28 0.08 132.1 0.4
